GT_ID,File,Lines,Function_Scope,Vulnerability_Type,CWE_ID,OWASP_Top10_2021,Severity,Python_SAST_Detectable,Description,Code_Reference
GT-001,introduction/views.py,93-101,xss_lab,Reflected XSS,CWE-79,A03:2021-Injection,Medium,"No (sink is `|safe` in xss_lab.html template, not in .py)",GET param `q` is filtered from FAANG model and passed unescaped into a template that renders it with the `|safe` filter.,"q=request.GET.get('q','') -> render(... args)"
GT-002,introduction/views.py,106-118,xss_lab2,Reflected XSS (blocklist bypass),CWE-79 / CWE-116,A03:2021-Injection,Medium,No (sink is `|safe` in xss_lab_2.html template),Only the literal strings '<script>' and '</script>' are stripped; any other tag/attribute-based XSS payload bypasses the filter before reaching a template that renders it unescaped.,"username.replace('<script>','').replace('</script>','')"
GT-003,introduction/views.py,122-133,xss_lab3,Reflected XSS (incomplete sanitization / JSFuck bypass),CWE-79 / CWE-116,A03:2021-Injection,Low-Medium,No (sink is template-side; regex only strips alphanumerics),"Regex `[a-zA-Z0-9]` strips letters/digits but deliberately leaves symbols, enabling JSFuck-style payloads that reach the template unescaped.","re.sub(r'[a-zA-Z0-9]', '', username)"
GT-004,introduction/views.py,"158,162",sql_lab,SQL Injection,CWE-89,A03:2021-Injection,Critical,Yes,User-supplied `name`/`password` are concatenated directly into a raw SQL string executed via Django's `.raw()`.,"sql_query = ""SELECT * FROM introduction_login WHERE user='""+name+""' AND password='""+password+""'""; login.objects.raw(sql_query)"
GT-005,introduction/views.py,"202,205-219",insec_des_lab,Insecure Deserialization,CWE-502,A08:2021-Software and Data Integrity Failures,Critical,Yes,"Base64-decoded value taken directly from a client-supplied cookie is passed to pickle.loads(), allowing arbitrary object reconstruction / RCE via a crafted pickle payload.",token = base64.b64decode(token); admin = pickle.loads(token)
GT-006,introduction/views.py,255-267,xxe_parse,XML External Entity (XXE) Injection,CWE-611,A05:2021-Security Misconfiguration,Critical,Yes,"SAX parser explicitly enables `feature_external_ges` (external general entities) before parsing raw, unauthenticated request body content.","parser.setFeature(feature_external_ges, True); doc = parseString(request.body.decode('utf-8'), parser=parser)"
GT-007,introduction/views.py,"291,305,319",auth_lab_signup / auth_lab_login,Insecure Cookie Attributes,CWE-614 / CWE-1004,A05:2021-Security Misconfiguration,Low,Partial (pattern-detectable but not a default Bandit rule),"Session-identifying cookie `userid` is set with `secure=False` and `samesite=None`, allowing transmission over plaintext HTTP and cross-site leakage.","response.set_cookie('userid', obj.userid, max_age=31449600, samesite=None, secure=False)"
GT-008,introduction/views.py,341-381,ba_lab,Broken Access Control (client-trusted cookie),CWE-807 / CWE-284,A01:2021-Broken Access Control,High,"No (business-logic flaw, not a syntactic pattern)",Admin privilege is granted purely because the client presents a cookie `admin=1`; the cookie is never signed or server-validated.,"if request.COOKIES.get('admin') == ""1"": ... 0NLY_F0R_4DM1N5"
GT-009,introduction/views.py,414-450,cmd_lab,OS Command Injection,CWE-78,A03:2021-Injection,Critical,Yes,User-controlled `domain` (only lightly normalized with a regex) is interpolated into a shell command string executed with `shell=True`.,"command = ""dig {}"".format(domain); subprocess.Popen(command, shell=True, ...)"
GT-010,introduction/views.py,452-469,cmd_lab2,Code Injection (eval),CWE-95,A03:2021-Injection,Critical,Yes,"Raw POST value is passed directly to Python's `eval()`, allowing arbitrary Python code execution.",output = eval(val)
